Name,Term,ES,NES,NOM p-val,FDR q-val,FWER p-val,Tag %,Gene %,Lead_genes
prerank,Protein export,-0.5190020682727166,-1.7994398748194214,4.255319e-03,1.695012e-01,8.200000e-02,9/23,11.01%,SEC61G;SRP9;SRP68;SRPRB;SEC61A1;SRP19;SEC63;HSPA5;SPCS2
prerank,Hematopoietic cell lineage,-0.44262181993048944,-1.7572207947785095,1.000000e-03,1.296186e-01,1.200000e-01,14/41,18.60%,CD7;HLA-DRB5;IL7R;CD44;CD55;CD3E;IL4R;CD38;CD2;HLA-DRB1;CD5;CD8B;ITGB3;ITGA6
prerank,Viral protein interaction with cytokine and cytokine receptor,-0.44177528387492926,-1.74774549202961,1.000000e-03,9.040063e-02,1.260000e-01,8/36,7.99%,XCL1;XCL2;IL18RAP;IL2RB;IL18R1;IL2RG;TNFSF14;LTA
prerank,Spliceosome,-0.33561933168736796,-1.7317321465014015,1.000000e-03,7.627553e-02,1.390000e-01,47/128,16.65%,U2AF1;MAGOH;SRSF5;SNW1;SNRNP27;SF3B6;HNRNPM;SNRPD1;HNRNPA1L2;TRA2B;SNRPB2;SYF2;SRSF9;SF3A1;SRSF2;SRSF6;LSM4;SNRPF;SRSF10;PRPF18;CWC15;SRSF7;HNRNPA1;SNU13;SNRPD2;RP9;LSM7;U2SURP;SF3B2;CCDC12;PCBP1;HNRNPK;PHF5A;SLU7;RBMXL1;PQBP1;DDX5;SNRPG;SNRNP40;ALYREF;SF3B1;BUD31;SRSF3;PPIE;WBP11;SNRPC;DDX46
prerank,Bladder cancer,0.5689717086917156,1.6541438853313226,3.676471e-03,5.455776e-01,4.330000e-01,10/26,23.47%,DAPK2;CDK4;ERBB2;CDKN2A;TP53;ARAF;KRAS;THBS1;BRAF;RAF1
prerank,Nucleotide excision repair,0.5066290060603782,1.6078925956460766,4.683841e-03,4.904212e-01,6.220000e-01,16/42,20.14%,ERCC6;RFC2;ERCC5;DDB2;ERCC4;RFC4;CCNH;RAD23B;RPA2;GTF2H3;GTF2H5;RBX1;GTF2H4;ERCC3;LIG1;CDK7
prerank,Legionellosis,-0.38645970744041025,-1.603433538857271,1.000000e-03,1.687035e-01,3.120000e-01,7/42,3.02%,HBS1L;ARF1;SAR1A;EEF1G;HSPD1;RAB1A;NFKBIA
prerank,"Valine, leucine and isoleucine degradation",0.5106265282569252,1.5850961533130146,7.067138e-03,4.244331e-01,6.970000e-01,16/39,27.17%,MCCC2;ALDH9A1;HMGCL;ACAA1;BCKDHB;PCCB;HADH;AUH;ACAT1;ACSF3;ACADSB;MCEE;PCCA;AACS;OXCT1;HADHA
prerank,Antigen processing and presentation,-0.36496388508302074,-1.579573185804439,1.000000e-03,1.615247e-01,3.460000e-01,14/58,10.86%,KIR3DL1;KIR3DL2;KIR2DL4;HLA-A;HLA-DRB5;CTSS;TAPBP;PDIA3;KIR2DL3;KLRC2;HLA-B;HSP90AB1;CALR;HSPA5
prerank,Biosynthesis of unsaturated fatty acids,0.558832814864091,1.5413569239779614,3.585657e-02,5.265508e-01,8.490000e-01,7/20,14.50%,SCD5;ACOT4;ACAA1;HACD2;SCP2;TECR;HACD3
prerank,Peroxisome,0.45895909939531965,1.521139220725113,1.121076e-02,5.238571e-01,9.080000e-01,18/58,15.85%,FAR1;SOD2;ACOT8;PHYH;AGPS;ABCD3;HMGCL;MVK;ACAA1;SOD1;PEX14;PEX11B;SCP2;PEX2;PECR;MLYCD;GNPAT;MPV17
prerank,Graft-versus-host disease,-0.41447131922848157,-1.5165853040142867,1.530612e-02,2.162208e-01,4.740000e-01,6/27,6.88%,KIR3DL1;KIR3DL2;HLA-A;HLA-DRB5;KIR2DL3;HLA-B
prerank,Oxidative phosphorylation,-0.31534496060704176,-1.4845349636036633,1.449275e-02,2.358061e-01,5.520000e-01,33/100,16.32%,NDUFB9;COX7B;ATP5MC1;UQCRFS1;NDUFB11;NDUFA1;UQCR11;ATP6V1G1;ATP5ME;NDUFB6;UQCRQ;NDUFS8;ATP6V1H;NDUFS3;COX6A1;NDUFC2;TCIRG1;SDHB;NDUFB1;PPA1;SDHD;NDUFS6;NDUFA4;NDUFB8;COX7A2;CYC1;COX8A;NDUFB7;NDUFA3;NDUFA7;NDUFA13;ATP5F1C;ATP5MG
prerank,Long-term depression,-0.3736250867506734,-1.4524726484088861,5.555556e-02,2.592371e-01,6.190000e-01,11/34,13.69%,PPP2CA;GUCY1A1;PPP2CB;GNAQ;GNAI3;GNAS;GNA13;ITPR3;PRKCA;GNA12;IGF1R
prerank,Basal transcription factors,0.46516635570768633,1.4397370069593336,4.278729e-02,9.893938e-01,9.920000e-01,16/38,23.86%,GTF2F2;GTF2A1;TAF7;TAF6;CCNH;TAF15;GTF2H3;TAF9;GTF2H5;TAF5L;GTF2H4;ERCC3;CDK7;TBP;GTF2B;TAF5
prerank,Cytokine-cytokine receptor interaction,-0.3016791711985011,-1.4268296303328063,1.000000e-03,2.797767e-01,6.820000e-01,21/87,15.46%,XCL1;XCL2;IL7R;IFNGR1;IL18RAP;IL2RB;IL18R1;IL2RG;IL21R;TNFSF14;LTA;TNFRSF9;TNFRSF25;IFNL1;TNFSF13B;IL4R;TNFRSF11A;IL15RA;CD70;IFNLR1;CXCR3
prerank,Systemic lupus erythematosus,-0.32066672741538704,-1.4265190244084152,9.009009e-03,2.548863e-01,6.830000e-01,7/63,3.32%,H3-3B;H2BC12;HLA-DRB5;H2AX;H2AJ;SNRPD1;H4C3
prerank,Mitophagy,0.4260066393510618,1.4006485397731319,3.754266e-02,1.000000e+00,9.990000e-01,23/57,22.28%,MAPK9;ATG9A;CSNK2A1;BNIP3;MFN1;NBR1;BCL2L1;SP1;MFN2;TP53;PINK1;HIF1A;TBK1;KRAS;CITED2;RHOT2;ATG5;UBA52;CSNK2A2;UBC;EIF2AK3;TBC1D17;RHOT1
prerank,Lysine degradation,0.42366312343404633,1.3755233280083896,5.439815e-02,1.000000e+00,9.990000e-01,18/49,27.25%,EHMT2;ALDH9A1;COLGALT2;EZH1;PLOD1;CAMKMT;PLOD3;KMT5C;HADH;KMT2A;ACAT1;NSD2;KMT2D;SETDB2;NSD1;DHTKD1;HADHA;TMLHE
prerank,Inflammatory bowel disease,-0.35839198442614095,-1.3729326533732424,6.508876e-02,3.240464e-01,7.810000e-01,7/35,5.27%,HLA-DRB5;IFNGR1;IL18RAP;GATA3;IL18R1;IL2RG;IL21R
prerank,"Parathyroid hormone synthesis, secretion and action",-0.30880876767109383,-1.3694495718270514,4.098361e-02,3.047953e-01,7.860000e-01,20/56,16.82%,RUNX2;EGR1;ARHGEF1;GATA3;PDE4D;GNAQ;GNAI3;PDE4B;GNAS;ATF4;GNA13;PRKACA;ITPR3;PRKCA;GNA12;ATF2;JUND;MEF2D;ADCY9;CREB3L4
prerank,NF-kappa B signaling pathway,-0.30139991658244664,-1.3666247813848709,2.040816e-02,2.890066e-01,7.950000e-01,21/73,13.62%,GADD45B;BIRC2;CYLD;CFLAR;NFKBIA;CSNK2B;GADD45G;TNFSF14;CHUK;MALT1;PARP1;LTA;TRAF5;TRAF1;TNFSF13B;TNFRSF11A;PLCG2;BCL2A1;ICAM1;BIRC3;NFKB2
prerank,Ferroptosis,-0.3589483370773997,-1.3628078279200289,6.250000e-02,2.767855e-01,8.050000e-01,11/32,18.19%,MAP1LC3B;FTL;FTH1;SAT1;SLC3A2;PCBP1;PCBP2;VDAC3;VDAC2;SLC40A1;SAT2
prerank,Circadian entrainment,-0.3380277541419635,-1.3359296926007007,7.874016e-02,3.062238e-01,8.580000e-01,10/39,10.60%,GUCY1A1;CALM3;GNAQ;GNAI3;GNAS;GNGT2;GNB1;PRKACA;ITPR3;PRKCA
prerank,Olfactory transduction,-0.40253857163602047,-1.33475660679909,1.077586e-01,2.905567e-01,8.590000e-01,5/17,9.14%,RGS2;CALM3;GRK2;GNB1;PRKACA
prerank,Mineral absorption,-0.3689725021738234,-1.3085475663987767,1.111111e-01,3.224954e-01,8.960000e-01,4/26,1.50%,FTL;FTH1;ATP2B1;FXYD2
prerank,AGE-RAGE signaling pathway in diabetic complications,0.3911352761459602,1.2979681764353095,1.015801e-01,1.000000e+00,1.000000e+00,19/63,17.36%,STAT3;MAPK9;MAPK14;PRKCZ;CDK4;STAT5A;MAPK13;SMAD4;PIK3CA;PLCG1;CDKN1B;PLCB2;PIK3R3;STAT1;KRAS;STAT5B;PLCD1;DIAPH1;TNF
prerank,Ether lipid metabolism,0.48887526126107583,1.2967373908619633,1.597403e-01,1.000000e+00,1.000000e+00,11/17,29.36%,PAFAH2;CEPT1;LPCAT4;AGPS;PLD3;SELENOI;LPCAT1;PLAAT3;PAFAH1B3;PAFAH1B1;PEDS1
prerank,cGMP-PKG signaling pathway,-0.27638911633135765,-1.2898691037718888,3.750000e-02,3.406816e-01,9.100000e-01,26/77,16.82%,RGS2;PPIF;GUCY1A1;ATP2B1;FXYD2;PPP3CA;CALM3;IRS2;GNAQ;GNAI3;ATF4;GNA13;NFATC3;SLC25A5;ITPR3;GNA12;AKT1;ATF2;VDAC1;MEF2D;PPP1CB;VDAC3;ADCY9;ATP1B1;VDAC2;CREB3L4
prerank,FoxO signaling pathway,0.3666213811895895,1.285156958896293,8.807734e-02,1.000000e+00,1.000000e+00,23/92,17.05%,AGAP2;STAT3;STK4;SOD2;MAPK9;MAPK14;BNIP3;PRKAB2;KLF2;MAPK13;CCND2;SMAD4;FASLG;PIK3CA;CDKN1B;PIK3R3;ARAF;STK11;KRAS;BCL2L11;FBXO25;SIRT1;IKBKB
prerank,Aminoacyl-tRNA biosynthesis,0.4038101845020651,1.279431722805761,1.132075e-01,1.000000e+00,1.000000e+00,20/42,37.13%,RARS2;CARS1;FARSA;GARS1;FARS2;RARS1;MTFMT;HARS1;AARS1;HARS2;SARS1;IARS2;DARS1;SEPSECS;IARS1;QARS1;SARS2;VARS2;GATC;TARS1
prerank,Arachidonic acid metabolism,0.5053492143605506,1.2793995857785172,1.493943e-01,1.000000e+00,1.000000e+00,7/15,29.17%,PTGDS;PTGES2;GPX7;CBR1;PLAAT3;LTA4H;AKR1C3
prerank,IL-17 signaling pathway,0.3869745952861892,1.2694676237409352,1.331828e-01,1.000000e+00,1.000000e+00,23/51,34.56%,S100A9;S100A8;MAPK9;TRAF6;MAPK14;FADD;MAPK13;IFNG;TRAF2;TBK1;IKBKB;TNF;GSK3B;SRSF1;MAPK7;CEBPB;JUN;MAPK3;IL17RA;IL17RC;ANAPC5;MAPK8;TAB3
prerank,Non-small cell lung cancer,0.37801036988902104,1.2600963645885064,1.289593e-01,1.000000e+00,1.000000e+00,15/57,14.85%,STAT3;STK4;POLK;DDB2;CDK4;ERBB2;STAT5A;CDKN2A;PIK3CA;PLCG1;PIK3R3;TP53;ARAF;KRAS;STAT5B
prerank,Synaptic vesicle cycle,0.42051893338688573,1.2569778141269374,1.654229e-01,1.000000e+00,1.000000e+00,13/32,21.47%,SLC1A7;ATP6V1A;ATP6V0A2;STX2;CLTC;AP2A2;ATP6V0D1;ATP6V1D;ATP6V1B2;ATP6V0E1;VAMP2;ATP6V0E2;AP2A1
prerank,Pentose phosphate pathway,-0.3485121174242968,-1.2454650805120882,1.463415e-01,4.235535e-01,9.520000e-01,5/23,10.49%,ALDOA;RPE;TKT;PRPS1;PGM2
prerank,Hepatitis B,0.34319775819839177,1.2445338263217645,1.068063e-01,1.000000e+00,1.000000e+00,47/120,31.70%,YWHAB;STAT3;MAPK9;TRAF6;MAPK14;FADD;CYCS;DDB2;STAT5A;MAPK13;SMAD4;FASLG;PIK3CA;MAP2K4;PIK3R3;TP53;TBK1;ARAF;STAT1;MAVS;KRAS;IRAK4;STAT5B;STAT4;IKBKB;TNF;MAP2K6;IRF3;CREB3L2;FAS;BRAF;AKT3;RAF1;TGFBR1;CREB3;ATP6AP1;MAP2K7;STAT6;IRF7;YWHAQ;TYK2;PRKCB;JUN;PIK3R2;CDK2;MAPK3;PTK2B
prerank,Sphingolipid signaling pathway,0.3520856682888812,1.2329564303411384,1.199575e-01,1.000000e+00,1.000000e+00,30/89,23.47%,MAPK9;MAPK14;PPP2R5D;CERS5;SPTLC1;PRKCZ;MAPK13;PPP2R5C;PPP2R2B;PPP2R5E;PIK3CA;PPP2R5A;TNFRSF1A;SMPD1;PLCB2;PIK3R3;TP53;TRAF2;KRAS;CERS2;SPHK2;ROCK1;SGPL1;TNF;PPP2R2A;RHOA;SMPD2;AKT3;GNAI2;RAF1
prerank,ErbB signaling pathway,0.3720424985457369,1.2315059766224539,1.422122e-01,1.000000e+00,1.000000e+00,26/61,31.22%,MAPK9;CRK;ERBB2;STAT5A;PIK3CA;PLCG1;MAP2K4;CDKN1B;SHC1;PIK3R3;ARAF;KRAS;STAT5B;NRG2;GSK3B;PAK6;BRAF;AKT3;MTOR;RAF1;CBL;MAP2K7;PRKCB;JUN;PIK3R2;MAPK3
prerank,Morphine addiction,-0.30463303026849575,-1.2285504475222881,1.479290e-01,4.463056e-01,9.650000e-01,10/33,10.60%,GRK6;PDE4D;GNAI3;PDE4B;GNAS;GRK2;GNGT2;GNB1;PRKACA;PRKCA
prerank,TNF signaling pathway,-0.26376700047367496,-1.2283538934938913,4.819277e-02,4.267442e-01,9.650000e-01,22/78,13.61%,MAP3K8;PIK3R1;BIRC2;MAP3K5;CFLAR;NFKBIA;MLKL;IL18R1;ATF4;CHUK;ITCH;LTA;TRAF5;TRAF1;IRF1;PGAM5;PIK3CB;SOCS3;AKT1;ICAM1;ATF2;BIRC3
prerank,Retrograde endocannabinoid signaling,-0.2622079844416886,-1.2244846798237572,1.038961e-01,4.167735e-01,9.660000e-01,23/73,16.29%,NDUFB9;NDUFB11;NDUFA1;NDUFB6;NDUFS8;NDUFS3;GNAQ;GNAI3;NDUFC2;NDUFB1;GNGT2;GNB1;PRKACA;NDUFS6;ITPR3;PRKCA;NDUFA4;NDUFB8;NDUFB7;NDUFA3;NDUFA7;NDUFA13;ADCY9
prerank,Tight junction,0.3504041896066365,1.2243225589039501,1.177106e-01,1.000000e+00,1.000000e+00,37/97,27.08%,RUNX1;F11R;MAPK9;PRKAB2;PRKCZ;CDK4;ERBB2;PPP2R2B;ARHGAP17;ARPC3;MYH9;SCRIB;MYL12B;STK11;ITGB1;NF2;VASP;ACTR3;ROCK1;EZR;HSPA4;ARPC2;ARHGEF2;MYL12A;PPP2R2A;LLGL2;RHOA;SYMPK;ARHGEF18;TUBA1A;ACTR2;RDX;PRKACB;MAP2K7;ACTG1;MYL9;PRKAG2
prerank,Hypertrophic cardiomyopathy,0.40507329092399935,1.2169956254790761,1.953883e-01,1.000000e+00,1.000000e+00,7/32,17.50%,CACNA2D2;ATP2A2;PRKAB2;ITGB7;ITGB1;TNF;ATP2A3
prerank,Proteasome,0.38221518623129097,1.2037398928143581,1.840909e-01,1.000000e+00,1.000000e+00,16/44,26.44%,PSMD4;PSMA6;PSME3;PSMB10;IFNG;PSMD11;PSMA7;PSMB2;PSMD13;PSMB9;PSMB8;PSMC3;PSMC5;PSMB3;PSMD1;PSMC4
prerank,Gap junction,-0.2810712869080608,-1.2035014487657067,1.517241e-01,4.515877e-01,9.770000e-01,14/46,16.29%,GUCY1A1;TUBB4B;CSNK1D;GNAQ;GNAI3;TUBA4A;GNAS;PRKACA;ITPR3;PRKCA;TUBA1B;SOS2;SOS1;ADCY9
prerank,Sphingolipid metabolism,0.39526686812243506,1.198284640549391,2.148860e-01,1.000000e+00,1.000000e+00,10/32,21.53%,CERS5;GBA2;SPTLC1;SMPD4;SMPD1;CERS2;SPHK2;SGPL1;SMPD2;SMPD3
prerank,Progesterone-mediated oocyte maturation,0.3701597985894695,1.1981023836784344,2.066590e-01,1.000000e+00,1.000000e+00,26/53,33.43%,MAPK9;MAPK14;CPEB4;STK10;ANAPC10;MAPK13;PIK3CA;CDC16;PDE3B;ANAPC7;PIK3R3;ARAF;KRAS;BRAF;AKT3;GNAI2;RAF1;ANAPC1;PRKACB;PIK3R2;ANAPC2;CDK2;MAPK3;ANAPC5;CDC23;MAPK8
prerank,Lysosome,0.33630480133393587,1.1961976313890619,1.620469e-01,1.000000e+00,1.000000e+00,36/101,28.20%,GALNS;CTSC;GNPTAB;HGSNAT;AP3S2;NAGPA;ATP6V0A2;LIPA;GGA1;GGA2;LAPTM5;CLTC;SMPD1;SLC17A5;ATP6V0D1;AP1B1;AP3M1;ABCA2;IGF2R;HEXB;FUCA1;LITAF;SUMF1;AP1S1;AP4M1;GNS;GNPTG;LAMP2;ATP6AP1;DNASE2;GAA;ARSG;MANBA;CTSF;TPP1;M6PR
prerank,Chronic myeloid leukemia,0.3540613030179549,1.1951480815373285,1.822173e-01,1.000000e+00,1.000000e+00,17/65,14.85%,RUNX1;POLK;CRK;BCL2L1;DDB2;CDK4;STAT5A;CDKN2A;SMAD4;PIK3CA;CDKN1B;SHC1;PIK3R3;TP53;ARAF;KRAS;STAT5B
prerank,Non-alcoholic fatty liver disease,-0.2506768037346145,-1.1914150717811849,8.695652e-02,4.664673e-01,9.840000e-01,30/125,12.62%,CDC42;PIK3R1;NDUFB9;COX7B;UQCRFS1;NDUFB11;NDUFA1;IRS2;MAP3K5;UQCR11;NDUFB6;UQCRQ;NDUFS8;NDUFS3;COX6A1;NDUFC2;ATF4;ITCH;SDHB;NDUFB1;SDHD;NDUFS6;NDUFA4;NDUFB8;COX7A2;CYC1;PIK3CB;COX8A;SOCS3;AKT1
prerank,Insulin secretion,-0.30731568744532106,-1.190925168089354,1.916168e-01,4.498301e-01,9.850000e-01,12/28,18.25%,FXYD2;GNAQ;GNAS;ATF4;PRKACA;ITPR3;PRKCA;ATF2;ADCY9;ATP1B1;CREB3L4;SLC2A1
prerank,One carbon pool by folate,0.47256913384127314,1.1899427724857445,2.662252e-01,1.000000e+00,1.000000e+00,6/15,21.39%,MTR;MTFMT;MTHFD1;DHFR;MTHFS;MTHFR
prerank,ABC transporters,0.44070236845582833,1.1869510432016879,2.360571e-01,1.000000e+00,1.000000e+00,7/19,21.92%,ABCB8;ABCD3;ABCC10;ABCA2;TAP1;ABCA7;ABCC5
prerank,Measles,0.33185461939460653,1.1812351967262102,1.650692e-01,1.000000e+00,1.000000e+00,32/103,21.88%,STAT3;MAPK9;TRAF6;CSNK2A1;FADD;CYCS;BCL2L1;CDK4;STAT5A;CCND2;HSPA8;FASLG;PIK3CA;CDKN1B;PIK3R3;TP53;TBK1;STAT1;MAVS;IRAK4;CD3G;IRF9;CCND3;STAT5B;HSPA1A;BBC3;IKBKB;IRF3;CSNK2A2;GSK3B;FAS;EIF2AK3
prerank,Glycolysis / Gluconeogenesis,0.38506430433683286,1.180886655755331,2.264151e-01,1.000000e+00,1.000000e+00,8/36,11.52%,PGAM1;ALDH9A1;HK1;PDHB;PFKP;TPI1;PKM;AKR1A1
prerank,Fluid shear stress and atherosclerosis,0.3371822576115221,1.1790999794687418,2.052689e-01,1.000000e+00,1.000000e+00,37/82,35.19%,MAPK9;MAPK14;BMPR2;PRKCZ;KLF2;MAPK13;TXN2;PIK3CA;TNFRSF1A;MAP2K4;IFNG;CYBA;PIK3R3;TP53;IKBKB;TNF;MAP2K6;ARHGEF2;GSTM4;MGST3;RHOA;MAP2K5;MEF2A;BMPR1A;AKT3;MAP2K7;ACTG1;MAPK7;MGST2;RAC2;JUN;PIK3R2;GSTM2;MAPK8;ITGAV;GSTO1;BCL2
prerank,mTOR signaling pathway,0.3344898677440457,1.178199749101658,1.870351e-01,1.000000e+00,1.000000e+00,33/101,23.47%,DVL3;TBC1D7;STRADA;ATP6V1A;RRAGC;TELO2;TSC2;PIK3CA;DEPDC5;TNFRSF1A;NPRL3;EIF4B;PIK3R3;SLC38A9;STK11;KRAS;SESN2;NPRL2;ATP6V1D;ATP6V1B2;CLIP1;FNIP1;IKBKB;TNF;RPTOR;RHOA;CAB39;GSK3B;RRAGB;BRAF;AKT3;MTOR;RAF1
prerank,Fatty acid degradation,0.400724490443905,1.1667878851228732,2.583026e-01,1.000000e+00,1.000000e+00,9/29,29.45%,ALDH9A1;ACAA1;HADH;ACAT1;ACADSB;ACSL5;ACSL4;HADHA;ACSL3
prerank,Pancreatic cancer,0.35134383451092666,1.1657356507616567,2.466814e-01,1.000000e+00,1.000000e+00,16/62,13.50%,STAT3;MAPK9;POLK;RALBP1;BCL2L1;DDB2;CDK4;ERBB2;CDKN2A;SMAD4;PIK3CA;PIK3R3;TP53;ARAF;STAT1;KRAS
prerank,Wnt signaling pathway,0.33501631871106236,1.1592302012675793,1.980831e-01,1.000000e+00,1.000000e+00,22/80,21.27%,PORCN;DVL3;PPP3CC;MAPK9;CSNK2A1;PSEN1;PPP3CB;CCND2;SMAD4;PLCB2;TP53;SENP2;INVS;CCND3;CUL1;RBX1;CACYBP;RUVBL1;RHOA;CSNK2A2;GSK3B;TLE3
prerank,Thyroid hormone synthesis,-0.29347323680668536,-1.1586245643327235,2.023121e-01,5.195082e-01,9.950000e-01,15/35,17.11%,FXYD2;GNAQ;GNAS;ATF4;PRKACA;ITPR3;PRKCA;HSPA5;ATF2;GSR;ADCY9;ATP1B1;HSP90B1;CREB3L4;CANX
prerank,Thyroid hormone signaling pathway,0.3328890902139736,1.1547405071585912,2.317597e-01,1.000000e+00,1.000000e+00,26/85,24.09%,ATP1A3;MED27;ATP2A2;MED1;MED24;MED12;PFKP;TSC2;PIK3CA;PLCG1;PLCB2;PIK3R3;TP53;MED17;HIF1A;STAT1;KRAS;PLCD1;NCOR1;NCOA3;ATP2A3;GSK3B;AKT3;MTOR;RAF1;RXRB
prerank,Melanogenesis,-0.27049596847654767,-1.1546915737370498,1.804511e-01,5.124918e-01,9.960000e-01,13/45,18.04%,TCF7;CALM3;CREBBP;GNAQ;GNAI3;GNAS;PRKACA;PRKCA;FZD3;ADCY9;CREB3L4;TCF7L2;DVL2
prerank,Epithelial cell signaling in Helicobacter pylori infection,0.3589243872062843,1.1514127340150169,2.700229e-01,1.000000e+00,1.000000e+00,16/47,20.27%,F11R;MAPK9;MAPK14;ATP6V1A;ATP6V0A2;MAPK13;PLCG1;MAP2K4;ATP6V0D1;CSK;ATP6V1D;ATP6V1B2;ATP6V0E1;IKBKB;CXCR2;ATP6V0E2
prerank,Terpenoid backbone biosynthesis,0.43241057706564145,1.1505185276827359,2.952503e-01,1.000000e+00,1.000000e+00,6/19,18.76%,RCE1;MVK;DHDDS;FDPS;ACAT1;PDSS2
prerank,Tryptophan metabolism,0.4417003991541908,1.1503948064431126,2.851511e-01,1.000000e+00,1.000000e+00,6/17,27.17%,ALDH9A1;HADH;ACAT1;KYAT3;DHTKD1;HADHA
prerank,PD-L1 expression and PD-1 checkpoint pathway in cancer,0.34067384770238845,1.150253749339702,2.536151e-01,1.000000e+00,1.000000e+00,23/69,23.47%,CD247;STAT3;PPP3CC;TRAF6;MAPK14;CSNK2A1;PPP3CB;MAPK13;PIK3CA;PLCG1;IFNG;PIK3R3;HIF1A;STAT1;KRAS;CD3G;IKBKB;MAP2K6;CSNK2A2;RASGRP1;AKT3;MTOR;RAF1
prerank,Central carbon metabolism in cancer,0.35761080773601134,1.1479348595720371,2.659817e-01,1.000000e+00,1.000000e+00,17/49,23.47%,PDGFRB;PGAM1;HK1;PDHB;ERBB2;PFKP;PIK3CA;PKM;PIK3R3;TP53;HIF1A;KRAS;SIRT6;TIGAR;AKT3;MTOR;RAF1
prerank,Dopaminergic synapse,0.33532742823857803,1.143148964684117,2.423246e-01,1.000000e+00,1.000000e+00,27/71,25.59%,GNAL;PPP3CC;MAPK9;MAPK14;PPP2R5D;PPP3CB;MAPK13;PPP2R5C;PPP2R2B;PPP2R5E;PPP2R5A;GNG5;PLCB2;PPP1CA;ARRB1;GNG10;GNB2;COMT;CREB3L2;PPP2R2A;GSK3B;GSK3A;AKT3;GNAI2;GNG2;CREB3;PRKACB
prerank,Mismatch repair,0.4176412745770727,1.1425052815405465,2.977099e-01,1.000000e+00,1.000000e+00,5/20,19.16%,RFC2;PMS2;RFC4;RPA2;LIG1
prerank,Diabetic cardiomyopathy,-0.22582884636319178,-1.1416754811945522,1.914894e-01,5.295451e-01,9.970000e-01,38/140,16.14%,PIK3R1;NDUFB9;PPIF;COX7B;ATP5MC1;UQCRFS1;NDUFB11;NDUFA1;UQCR11;NDUFB6;UQCRQ;NDUFS8;NDUFS3;COX6A1;NDUFC2;SDHB;NDUFB1;PARP1;SLC25A5;SDHD;NDUFS6;PRKCA;NDUFA4;NDUFB8;COX7A2;CYC1;PIK3CB;COX8A;AKT1;VDAC1;NDUFB7;GSR;NDUFA3;NDUFA7;PPP1CB;NDUFA13;ATP5F1C;VDAC3
prerank,Inositol phosphate metabolism,0.34508427248888635,1.141451924972938,2.582106e-01,1.000000e+00,1.000000e+00,14/56,15.03%,INPP4A;INPPL1;MTMR4;INPP5B;PIK3C3;TPI1;PIK3CA;ISYNA1;PLCG1;FIG4;PLCB2;MTMR3;PIK3C2A;PLCD1
prerank,Insulin resistance,0.34041136262921434,1.1406542141774962,2.305159e-01,1.000000e+00,1.000000e+00,29/68,31.21%,STAT3;MAPK9;PRKAB2;PYGB;PRKCZ;PIK3CA;TNFRSF1A;PTPN1;PPP1CA;PIK3R3;IKBKB;TNF;OGA;CREB3L2;SLC27A3;GSK3B;CRTC2;AKT3;MTOR;CREB3;PRKAG2;PRKCQ;MLX;MLXIP;GYS1;PRKCB;PPP1R3E;PIK3R2;PPARA
prerank,Shigellosis,0.30570694704157125,1.1388502962506137,2.065107e-01,1.000000e+00,1.000000e+00,57/189,20.50%,RNF31;MAPK9;TRAF6;MAPK14;UBE2D4;BNIP3;CYCS;RRAGC;HK1;CRK;UBE2V1;PIK3C3;BCL2L1;CAST;MAPK13;PIK3CA;PPID;CYTH4;TNFRSF1A;PLCG1;ARPC3;PLCB2;FNBP1;PIK3R3;TP53;TRAF2;TBK1;MYL12B;WASF2;ITGB1;PLCD1;ACTR3;CUL1;ROCK1;UBE2D2;CBX3;DIAPH1;ATG5;IKBKB;ARPC2;RBX1;TNF;IRF3;ARHGEF2;CAPN2;RPTOR;UBA52;MYL12A;CASP1;TNIP1;CAPN1;RHOA;GSK3B;SHARPIN;SEPTIN9;UBC;CYTH1
prerank,Other types of O-glycan biosynthesis,0.38516482262504714,1.1377523660673565,2.792683e-01,1.000000e+00,1.000000e+00,12/30,27.00%,COLGALT2;C1GALT1C1;GALNT6;PLOD3;POGLUT1;LFNG;ST6GAL1;B4GALT3;B3GLCT;GALNT2;GALNT3;MFNG
prerank,Thyroid cancer,-0.3016989726382293,-1.1366965685428383,2.300000e-01,5.227284e-01,9.970000e-01,4/29,5.58%,TCF7;GADD45B;TPR;GADD45G
prerank,Parkinson disease,-0.215477096089081,-1.1343270737974318,5.882353e-02,5.125561e-01,9.970000e-01,39/184,12.11%,UBB;NDUFB9;PPIF;COX7B;CALM3;ATP5MC1;UQCRFS1;NDUFB11;NDUFA1;MAP3K5;UQCR11;TUBB4B;PSMA1;NDUFB6;UQCRQ;NDUFS8;NDUFS3;COX6A1;NFE2L2;GNAI3;TUBA4A;NDUFC2;GNAS;ATF4;SDHB;NDUFB1;SLC25A5;PRKACA;SDHD;PSMA4;NDUFS6;ITPR3;HSPA5;NDUFA4;NDUFB8;COX7A2;CYC1;TUBA1B;COX8A
prerank,Mucin type O-glycan biosynthesis,0.4435354282669475,1.1341123888934659,3.059299e-01,1.000000e+00,1.000000e+00,6/16,27.10%,C1GALT1C1;ST3GAL2;GALNT6;GALNT2;GALNT3;GCNT1
